Unnamed: 0,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year,Season,HomeAway_Position_Differntial,HomeAway_Form_Differntial,HomeAway_Average_Points_Differntial,HomeAway_Average_Points_Conceded_Differntial,HomeAway_Win_Precentage_Differntial,k_past_position_home,k_past_rest_time_home,k_past_position_away,k_past_rest_time_away,k_past_positions_differential,k_past_resttimes_differential,Home_St,Away_St,Home_StWeighted,Away_StWeighted,Streak,WeightedStreak
0,12,12,0,20.0,20.0,0.0,0.0,7,50.0,0.0,2,2,0,20.0,20.0,0.0,0.0,7,50.0,0,1,7,Santo Andre,America Volei,11,2010,2010-2011,-10,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,7,6,0,20.0,20.0,0.0,0.0,7,50.0,0.0,8,1,0,20.0,20.0,0.0,0.0,7,50.0,0,1,9,Fatima UCS,Cimed,11,2010,2010-2011,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2,13,3,0,20.0,20.0,0.0,0.0,7,50.0,0.0,11,5,0,20.0,20.0,0.0,0.0,7,50.0,0,1,11,Sada Cruzeiro,Sesi,11,2010,2010-2011,-2,0.0,0.0,0.0,0.0,,,,,,,,,,,,
3,15,8,0,20.0,20.0,0.0,0.0,7,50.0,0.0,11,4,0,20.0,20.0,0.0,0.0,7,50.0,0,1,11,Minas,Pinheiros,11,2010,2010-2011,-4,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4,13,3,0,20.4,20.64,-0.2,-0.2,2,0.0,0.0,3,4,1,20.85,20.55,0.4,0.4,2,100.0,0,0,13,Sada Cruzeiro,Pinheiros,11,2010,2010-2011,-10,0.6000000000000001,0.45000000000000284,-0.08999999999999986,100.0,,,,,,,,,,,,
5,15,8,0,20.55,20.85,-0.4,-0.4,2,0.0,0.0,4,5,1,20.64,20.4,0.2,0.2,2,100.0,0,1,13,Minas,Sesi,11,2010,2010-2011,-11,0.6000000000000001,0.08999999999999986,-0.45000000000000284,100.0,,,,,,,,,,,,
6,12,14,0,20.0,20.0,0.0,0.0,7,50.0,0.0,2,2,1,21.3333333333333,20.0666666666667,0.6,0.6,7,100.0,0,1,14,Londrina,America Volei,11,2010,2010-2011,-10,0.6,1.3333333333333002,0.0666666666666984,50.0,,,,,,,,,,,,
7,9,13,0,20.0,20.0,0.0,0.0,7,50.0,0.0,3,1,1,21.1333333333333,20.4,0.6,0.6,5,100.0,0,1,14,Volta Redonda,Cimed,11,2010,2010-2011,-6,0.6,1.1333333333333009,0.3999999999999986,50.0,,,,,,,,,,,,
8,12,14,0,19.2,21.0,-0.6,-0.6,5,0.0,0.0,7,9,0,20.0,20.0,0.0,0.0,7,50.0,0,0,19,Londrina,Ulbra Sao Caetano,11,2010,2010-2011,-5,0.6,0.8000000000000007,-1.0,50.0,,,,,,,,,,,,
9,14,12,0,20.0666666666667,21.3333333333333,-0.6,-0.6,7,0.0,0.0,11,12,0,20.0,20.0,0.0,0.0,7,50.0,0,1,19,Santo Andre,Sao Bernardo,11,2010,2010-2011,-3,0.6,-0.0666666666666984,-1.3333333333333002,50.0,,,,,,,,,,,,
10,10,11,0,20.0,20.0,0.0,0.0,7,50.0,0.0,8,9,0,20.0,20.0,0.0,0.0,7,50.0,0,1,19,Blumenau,Medley,11,2010,2010-2011,-2,0.0,0.0,0.0,0.0,,,,,,,,,,,,
11,1,2,1,22.0666666666667,19.2533333333333,0.0,1.08,5,100.0,0.0,12,6,0,20.4,21.1333333333333,-0.6,0.0,7,0.0,0,0,19,America Volei,Fatima UCS,11,2010,2010-2011,11,-1.6800000000000002,-1.6666666666666998,1.8800000000000026,-100.0,,,,,,,,,,,,
