Unnamed: 0,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year,Season,HomeAway_Position_Differntial,HomeAway_Form_Differntial,HomeAway_Average_Points_Differntial,HomeAway_Average_Points_Conceded_Differntial,HomeAway_Win_Precentage_Differntial,k_past_position_home,k_past_rest_time_home,k_past_position_away,k_past_rest_time_away,k_past_positions_differential,k_past_resttimes_differential,Home_St,Away_St,Home_StWeighted,Away_StWeighted,Streak,WeightedStreak
12,15,8,0,21.09,21.68,-0.72,-0.72,7,0.0,0.0,8,3,1,21.6533333333333,21.4453333333333,0.44,0.0,7,50.0,0,1,20,Minas,Sada Cruzeiro,11,2010,2010-2011,-7,1.16,0.5633333333333006,-0.23466666666670122,50.0,,,,,,,,,,,,
13,7,14,1,20.04,21.28,-0.28,-0.28,1,50.0,0.0,6,12,1,20.32,20.0,0.2,0.2,1,100.0,0,1,20,Londrina,Sao Bernardo,11,2010,2010-2011,-1,0.48000000000000004,0.28000000000000114,-1.2800000000000011,50.0,,,,,,,,,,,,
14,1,2,1,22.0133333333333,19.2826666666667,0.2,1.064,2,100.0,0.0,11,13,0,20.3333333333333,21.0,-0.6,0.0,7,0.0,0,0,21,America Volei,Volta Redonda,11,2010,2010-2011,10,-1.6640000000000001,-1.6799999999999997,1.7173333333333005,-100.0,,,,,,,,,,,,
15,3,1,1,21.9066666666667,20.6533333333333,0.0,1.08,7,100.0,0.0,6,9,1,21.0,19.5333333333333,0.6,0.6,2,100.0,0,0,21,Cimed,Medley,11,2010,2010-2011,3,-0.4800000000000001,-0.9066666666666983,-1.120000000000001,0.0,,,,,,,,,,,,
16,14,12,0,20.0533333333333,21.3866666666667,-0.68,-0.68,2,0.0,0.0,9,9,0,20.48,20.68,-0.2,-0.2,2,0.0,0,0,21,Santo Andre,Ulbra Sao Caetano,11,2010,2010-2011,-5,0.48000000000000004,0.4266666666667014,-0.706666666666699,0.0,,,,,,,,,,,,
17,14,10,0,20.0,20.0,0.0,0.0,7,50.0,0.0,12,13,0,20.4,21.8,-1.08,-0.6,5,0.0,0,0,26,Volei Futuro,Volta Redonda,11,2010,2010-2011,-2,-1.08,0.3999999999999986,1.8000000000000007,-50.0,,,,,,,,,,,,
18,5,3,1,22.2226666666667,20.6562666666667,0.44,0.752,6,66.6666666666667,0.0,10,12,1,20.9926666666667,21.5093333333333,-0.144,0.0,5,33.3333333333333,0,0,26,Sada Cruzeiro,Santo Andre,11,2010,2010-2011,5,-0.896,-1.2300000000000004,0.8530666666665994,-33.3333333333334,,,,,,,,,,,,
19,4,12,1,21.256,19.5333333333333,0.0,0.76,6,100.0,0.0,1,2,1,22.6106666666667,19.5594666666667,1.4512,1.08,5,100.0,0,1,26,Sao Bernardo,America Volei,11,2010,2010-2011,-3,0.6912,1.3546666666666987,0.02613333333340151,0.0,1.5,5.25,,,,,1.0,,1.0,,,
20,6,9,0,20.6,20.6266666666667,0.0,-0.12,5,50.0,0.0,14,6,0,20.2,21.2666666666667,-0.68,-0.2,7,0.0,0,0,26,Medley,Fatima UCS,11,2010,2010-2011,8,-0.56,-0.40000000000000213,0.6400000000000006,-50.0,,,,,,,,,,,,
21,6,5,1,21.512,20.97,0.0,0.56,7,100.0,0.0,2,1,1,22.5253333333333,20.3226666666667,1.464,1.08,5,100.0,0,0,26,Sesi,Cimed,11,2010,2010-2011,-4,0.9039999999999999,1.0133333333333,-0.6473333333333002,0.0,,,,,,,,,,,,
22,8,4,0,21.6133333333333,21.7733333333333,0.0,-0.28,7,50.0,0.0,12,11,0,19.5333333333333,21.0,-0.6,0.0,7,0.0,0,0,26,Pinheiros,Blumenau,11,2010,2010-2011,4,-0.31999999999999995,-2.080000000000002,-0.7733333333333015,-50.0,,,,,,,,,,,,
23,15,8,0,20.372,22.244,-0.976,-0.976,6,0.0,0.0,8,14,0,19.5653333333333,22.024,-0.824,0.0,6,33.3333333333333,0,0,26,Minas,Londrina,11,2010,2010-2011,-7,0.15200000000000002,-0.8066666666667004,-0.21999999999999886,33.3333333333333,,,,,,,,,,,,
24,5,9,1,20.8,20.7013333333333,0.2,0.104,2,66.6666666666667,0.0,14,13,0,20.56,21.64,-1.064,-0.68,2,0.0,0,1,28,Medley,Volta Redonda,11,2010,2010-2011,9,-1.1680000000000001,-0.240000000000002,0.9386666666667018,-66.6666666666667,,,,,,,,,,,,
25,10,10,1,20.2,20.24,0.2,0.2,2,100.0,0.0,15,6,0,20.36,21.3333333333333,-0.744,-0.36,2,0.0,0,1,28,Volei Futuro,Fatima UCS,11,2010,2010-2011,5,-0.944,0.16000000000000014,1.0933333333333017,-100.0,,,,,,,,,,,,
26,3,5,1,22.4596,21.476,0.4,0.848,2,100.0,0.0,15,11,0,19.8266666666667,21.8,-1.08,-0.6,2,0.0,0,0,28,Sesi,Blumenau,11,2010,2010-2011,12,-1.928,-2.6329333333332983,0.3240000000000016,-100.0,,,,,,,,,,,,
27,14,9,0,20.784,21.494,0.0,-0.56,7,0.0,0.0,1,2,1,22.9885333333333,19.9475733333333,1.56096,1.264,2,100.0,0,1,28,Ulbra Sao Caetano,America Volei,11,2010,2010-2011,-13,2.12096,2.204533333333302,-1.5464266666667008,100.0,1.25,4.75,,,,,1.0,,1.0,,,
28,4,3,1,22.7781333333333,20.4583466666667,0.952,1.2016,2,75.0,0.0,10,14,0,19.7856,22.6192,-1.2592,-0.6,2,25.0,0,0,28,Sada Cruzeiro,Londrina,11,2010,2010-2011,6,-2.4608,-2.992533333333302,2.1608533333333,-50.0,9.75,4.75,9.75,5.5,0.0,-0.75,0.25,0.75,0.2,0.9,-0.5,-0.7
29,7,4,1,22.2906666666667,21.6186666666667,0.6,0.376,2,66.6666666666667,0.0,4,1,0,22.7202666666667,21.5081333333333,0.7712,0.464,2,75.0,0,1,28,Pinheiros,Cimed,11,2010,2010-2011,-3,0.3952,0.42960000000000065,-0.11053333333340021,8.3333333333333,4.0,6.0,,,,,0.75,,0.6,,,
30,13,8,1,21.2976,21.9285333333333,-0.1808,-0.1808,2,25.0,0.0,12,12,0,20.7274666666667,22.2074666666667,-0.7152,-0.6,2,25.0,0,0,28,Minas,Santo Andre,11,2010,2010-2011,-1,-0.5344,-0.570133333333299,0.2789333333334021,0.0,12.5,5.25,15.0,5.5,-2.5,-0.25,0.25,0.25,0.3,0.4,0.0,-0.10000000000000003
31,9,13,1,21.198,21.812,-0.6,-0.4512,4,25.0,0.0,3,5,1,22.96768,20.1141333333333,1.2784,0.56,4,100.0,0,1,2,Volta Redonda,Sesi,12,2010,2010-2011,-6,1.7296,1.769680000000001,-1.6978666666667017,75.0,6.0,4.5,11.5,5.25,-5.5,-0.75,1.0,0.25,1.0,0.4,0.75,0.6
32,14,9,0,20.9605333333333,22.1952,-0.6,-1.048,4,0.0,0.0,4,3,1,23.2225066666667,20.5000106666667,1.56128,0.4,4,80.0,0,1,2,Ulbra Sao Caetano,Sada Cruzeiro,12,2010,2010-2011,-10,2.60928,2.261973333333401,-1.6951893333332997,80.0,7.5,4.25,,,,,1.0,,1.0,,,
33,1,2,1,23.3908266666667,20.291392,0.76,1.848768,4,100.0,0.0,12,10,0,20.36,20.432,-0.04,0.0,4,50.0,0,1,2,America Volei,Volei Futuro,12,2010,2010-2011,11,-1.888768,-3.0308266666667016,0.1406080000000003,-50.0,,,1.0,3.5,,,,1.0,,1.0,,
34,6,12,0,21.3048,20.5266666666667,-0.4,0.208,6,66.6666666666667,0.0,9,8,1,22.03808,21.3428266666667,0.45536,0.0,4,40.0,0,1,2,Sao Bernardo,Minas,12,2010,2010-2011,3,0.24736,0.7332800000000006,0.81616,-26.6666666666667,14.5,4.25,,,,,0.5,,0.7,,,
35,12,14,0,19.9618133333333,23.09536,-0.824,-1.60736,4,20.0,0.0,4,1,1,22.2962133333333,21.2465066666667,0.81696,0.5712,4,80.0,0,1,2,Londrina,Cimed,12,2010,2010-2011,-8,2.42432,2.3343999999999987,-1.8488533333332988,60.0,3.0,4.75,9.25,3.5,-6.25,1.25,0.75,0.25,0.7,0.1,0.5,0.6
36,13,12,0,20.3819733333333,22.7659733333333,-0.144,-1.17216,4,20.0,0.0,15,11,0,18.7946666666667,22.44,-1.464,-1.08,4,0.0,0,1,2,Santo Andre,Blumenau,12,2010,2010-2011,2,-0.2918399999999999,-1.5873066666665991,-0.32597333333329814,-20.0,,,12.5,4.0,,,,0.25,,0.2,,
37,12,6,1,20.528,21.2666666666667,-0.6,-0.3952,4,25.0,0.0,8,4,0,21.8725333333333,21.4149333333333,0.1008,-0.28,4,50.0,0,1,2,Fatima UCS,Pinheiros,12,2010,2010-2011,-4,0.496,1.3445333333333025,0.14826666666659705,25.0,7.25,4.5,12.0,5.75,-4.75,-1.25,0.5,0.25,0.4,0.4,0.25,0.0
38,15,9,0,20.3684266666667,22.75616,-1.08,-1.4384,3,0.0,0.0,6,8,1,22.630464,20.740928,0.964288,0.6,3,50.0,0,1,5,Ulbra Sao Caetano,Minas,12,2010,2010-2011,-9,2.402688,2.2620373333333,-2.015232000000001,50.0,13.0,4.75,11.0,5.0,2.0,-0.25,0.75,0.0,0.9,0.0,0.75,0.9
39,1,2,0,22.8626613333333,21.0331136,0.208,1.0790144,3,85.7142857142857,0.0,7,9,0,21.14,21.3110666666667,-0.3168,-0.12,7,50.0,0,0,5,America Volei,Medley,12,2010,2010-2011,6,-1.3958144,-1.7226613333332992,0.2779530666667007,-35.714285714285694,6.25,4.0,1.0,3.25,5.25,0.75,0.5,0.75,0.4,0.6,-0.25,-0.19999999999999996
40,12,6,0,19.6224,22.0133333333333,-1.08,-0.91616,3,20.0,0.0,3,5,1,23.8408106666667,20.9579733333333,1.62272,1.048,3,100.0,0,1,5,Fatima UCS,Sesi,12,2010,2010-2011,-9,2.53888,4.218410666666703,-1.0553600000000003,80.0,4.0,3.75,13.25,5.0,-9.25,-1.25,1.0,0.25,1.0,0.3,0.75,0.7
41,11,13,0,21.8250666666667,22.9162666666667,-1.08,-0.96096,3,20.0,0.0,6,4,1,22.4980266666667,20.3319466666667,0.68064,0.376,3,60.0,0,1,5,Volta Redonda,Pinheiros,12,2010,2010-2011,-5,1.6416,0.6729599999999998,-2.5843200000000017,40.0,6.5,3.75,11.5,4.5,-5.0,-0.75,0.5,0.25,0.6,0.3,0.25,0.3
42,8,12,0,20.7105066666667,21.4213333333333,-0.92,-0.4336,3,50.0,0.0,4,3,1,23.5780053333333,20.0000085333333,1.849024,0.92,3,83.3333333333333,0,1,5,Sao Bernardo,Sada Cruzeiro,12,2010,2010-2011,-4,2.282624,2.8674986666666022,-1.4213248000000007,33.3333333333333,5.25,4.75,6.75,5.0,-1.5,-0.25,1.0,0.5,1.0,0.3,0.5,0.7
43,13,14,0,19.302784,23.476288,-1.2592,-1.885888,3,16.6666666666667,0.0,10,11,1,20.0357333333333,22.4186666666667,-0.5712,-0.264,3,25.0,0,0,5,Londrina,Blumenau,12,2010,2010-2011,-3,1.3146879999999999,0.7329493333333019,-1.0576213333333015,8.3333333333333,13.0,5.0,9.25,3.25,3.75,1.75,0.25,0.0,0.4,0.0,0.25,0.4
44,14,12,0,20.7722453333333,23.2127786666667,-0.7152,-1.537728,3,16.6666666666667,0.0,4,1,1,22.8369706666667,20.3305386666667,1.253568,1.05696,3,83.3333333333333,0,1,5,Santo Andre,Cimed,12,2010,2010-2011,-10,2.791296,2.064725333333403,-2.8822399999999995,66.6666666666666,3.25,4.5,12.25,3.25,-9.0,1.25,0.75,0.25,0.8,0.1,0.5,0.7000000000000001
45,5,4,1,22.6984213333333,20.2655573333333,0.28,0.944512,4,66.6666666666667,0.0,7,9,0,21.512,22.0488533333333,-0.85344,-0.696,4,40.0,0,0,9,Pinheiros,Medley,12,2010,2010-2011,2,-1.797952,-1.1864213333332998,1.783296,-26.6666666666667,6.0,4.0,7.25,4.0,-1.25,0.0,0.25,0.75,0.2,0.8,-0.5,-0.6000000000000001
46,2,1,1,23.2695765333333,20.1977642666667,0.6,1.6028544,5,85.7142857142857,0.0,15,9,0,20.161408,23.204928,-1.75072,-0.56,5,0.0,0,0,10,Cimed,Ulbra Sao Caetano,12,2010,2010-2011,13,-3.3535744000000003,-3.1081685333332985,3.0071637333333,-85.7142857142857,13.0,4.0,3.5,3.5,9.5,0.5,0.0,0.75,0.0,0.9,-0.75,-0.9
47,11,11,0,20.8785866666667,23.1349333333333,-0.6,-0.85696,5,20.0,0.0,8,12,0,20.9184053333333,22.1870666666667,-0.74688,0.76,5,40.0,0,1,10,Blumenau,Sao Bernardo,12,2010,2010-2011,-3,0.11008000000000007,0.03981866666660139,-0.9478666666666022,20.0,6.0,4.0,13.0,4.0,-7.0,0.0,0.25,0.25,0.1,0.3,0.0,-0.19999999999999998
48,12,13,0,21.4600533333333,23.0330133333333,-1.264,-1.168768,5,16.6666666666667,0.0,14,12,0,20.5511296,23.5702229333333,-1.8301824,-1.08,5,14.2857142857143,0,0,10,Volta Redonda,Santo Andre,12,2010,2010-2011,2,-0.6614144,-0.9089237333332996,0.5372096000000006,-2.380952380952399,12.25,3.5,11.5,3.5,0.75,0.0,0.0,0.25,0.0,0.2,-0.25,-0.2
49,6,8,1,23.1043712,20.4594090666667,0.45536,1.3714304,5,57.1428571428571,0.0,1,2,1,23.2901290666667,21.42649088,1.46321152,1.6112,5,87.5,0,1,10,Minas,America Volei,12,2010,2010-2011,-5,0.09178112000000005,0.1857578666667017,0.9670818133332979,30.357142857142897,1.0,3.5,10.75,3.75,-9.75,-0.25,0.75,1.0,0.7,1.0,-0.25,-0.30000000000000004
50,3,5,1,24.2726485333333,20.6330453333333,0.92,1.898176,5,100.0,0.0,11,10,1,21.088,20.4956,0.368,0.4,7,66.6666666666667,0,0,10,Sesi,Volei Futuro,12,2010,2010-2011,8,-1.530176,-3.1846485333332986,-0.1374453333333001,-33.3333333333333,,,3.75,4.0,,,,1.0,,1.0,,
51,13,6,0,19.5645866666667,22.8106666666667,-1.464,-1.332928,5,16.6666666666667,0.0,10,14,1,20.6422272,23.6310304,-1.1087104,-1.08,5,28.5714285714286,0,1,10,Fatima UCS,Londrina,12,2010,2010-2011,-3,0.2242175999999998,1.0776405333333017,0.8203637333332985,11.904761904761902,10.75,3.75,13.25,4.0,-2.5,-0.25,0.25,0.25,0.4,0.2,0.0,0.2
52,12,11,0,20.7028693333333,23.2079466666667,-0.88,-1.085568,1,16.6666666666667,0.0,15,9,0,20.0624597333333,23.6306090666667,-2.000576,-1.048,1,0.0,0,0,11,Blumenau,Ulbra Sao Caetano,12,2010,2010-2011,3,-0.915008,-0.6404096000000017,0.4226624000000001,-16.6666666666667,14.5,4.75,12.75,3.5,1.75,1.25,0.0,0.25,0.0,0.2,-0.25,-0.2
53,5,4,1,23.1587370666667,20.4791125333333,0.824,1.3556096,2,71.4285714285714,0.0,12,10,0,20.8704,20.79648,0.0944,0.12,1,50.0,0,1,11,Pinheiros,Volei Futuro,12,2010,2010-2011,7,-1.2612096,-2.288337066666699,0.317367466666699,-21.428571428571402,11.75,5.0,6.5,3.25,5.25,1.75,0.5,0.75,0.4,0.9,-0.25,-0.5
54,13,6,0,18.9850026666667,23.2485333333333,-1.7712,-1.6663424,1,14.2857142857143,0.0,14,12,0,20.64090368,23.2161783466667,-1.66414592,-1.064,1,12.5,0,0,11,Fatima UCS,Santo Andre,12,2010,2010-2011,1,0.002196480000000056,1.6559010133333025,-0.032354986666597085,-1.7857142857143007,13.25,3.5,13.0,3.5,0.25,0.0,0.0,0.25,0.0,0.1,-0.25,-0.1
55,3,5,1,23.8181188266667,20.5064362666667,0.936,1.7185408,2,100.0,0.0,10,9,0,21.4762666666667,22.6390826666667,-1.282752,-1.1568,3,33.3333333333333,0,0,12,Sesi,Medley,12,2010,2010-2011,7,-3.0012928,-2.341852160000002,2.1326463999999987,-66.6666666666667,6.25,4.5,3.0,3.5,3.25,1.0,0.25,1.0,0.1,1.0,-0.75,-0.9
56,4,3,1,23.9124042666667,20.3500068266667,1.3616,1.8792192,7,85.7142857142857,0.0,1,2,1,23.6321032533333,20.941192704,1.770569216,1.88896,2,88.8888888888889,0,1,12,Sada Cruzeiro,America Volei,12,2010,2010-2011,-3,-0.10864998400000014,-0.28030101333339985,0.5911858773332987,3.174603174603206,1.0,3.5,4.25,3.75,-3.25,-0.25,0.75,1.0,0.8,1.0,-0.25,-0.19999999999999996
57,12,13,1,21.5280426666667,22.6264106666667,-0.8112,-0.7350144,2,28.5714285714286,0.0,8,14,1,21.51378176,22.2381576533333,-0.28696832,-0.264,2,37.5,0,1,12,Volta Redonda,Londrina,12,2010,2010-2011,-4,0.44804607999999996,-0.014260906666699213,-0.3882530133334008,8.928571428571399,11.25,3.5,11.5,3.5,-0.25,0.0,0.5,0.5,0.7,0.5,0.0,0.19999999999999996
58,3,1,1,23.6823278933333,20.0915447466667,1.08,1.88228352,4,87.5,0.0,9,10,1,21.69632,21.037184,0.67552,0.696,3,60.0,0,0,14,Cimed,Volei Futuro,12,2010,2010-2011,6,-1.20676352,-1.9860078933333014,0.9456392533333009,-27.5,11.25,3.5,3.5,3.5,7.75,0.0,0.5,1.0,0.6,1.0,-0.5,-0.4
59,10,9,0,21.2810133333333,23.0112661333333,-0.24,-1.4262016,3,28.5714285714286,0.0,7,8,0,22.28349696,21.3675272533333,0.49714432,1.08,5,50.0,0,1,15,Medley,Minas,12,2010,2010-2011,-3,1.92334592,1.0024836266667023,-1.6437388800000008,21.4285714285714,8.5,3.5,7.25,4.0,1.25,-0.5,0.75,0.0,0.6,0.0,0.75,0.6
60,8,12,1,21.4347242666667,21.7496533333333,-1.136,-0.197504,6,50.0,0.0,5,4,0,22.9269896533333,21.3832900266667,0.48448768,0.7008,5,62.5,0,1,16,Sao Bernardo,Pinheiros,12,2010,2010-2011,-3,0.68199168,1.4922653866666025,-0.36636330666659944,12.5,6.0,3.25,6.5,5.0,-0.5,-1.75,0.75,0.25,0.6,0.4,0.5,0.19999999999999996
61,3,5,1,23.9544950613333,20.5051490133333,1.1488,1.77483264,5,100.0,0.0,15,9,0,19.8999677866667,23.6044872533333,-2.0004608,-1.2384,6,0.0,0,0,17,Sesi,Ulbra Sao Caetano,12,2010,2010-2011,12,-3.77529344,-4.054527274666601,3.0993382400000016,-100.0,14.75,3.25,3.0,3.5,11.75,-0.25,0.0,1.0,0.0,1.0,-1.0,-1.0
62,9,10,0,22.197056,21.8297472,-0.04,0.340416,3,50.0,0.0,5,3,0,23.6632567466667,21.4800054613333,0.90337536,1.136,5,75.0,0,1,17,Volei Futuro,Sada Cruzeiro,12,2010,2010-2011,-4,0.56295936,1.4662007466667006,-0.349741738666701,25.0,4.0,4.0,11.0,3.75,-7.0,0.25,0.75,0.5,0.6,0.4,0.25,0.19999999999999996
63,10,9,0,21.0748106666667,23.2590129066667,-0.592,-1.54096128,4,25.0,0.0,4,3,1,23.9806053973333,21.4340043690667,1.122700288,1.3088,2,77.7777777777778,0,1,19,Medley,Sada Cruzeiro,12,2010,2010-2011,-6,2.663661568,2.9057947306665994,-1.8250085376000023,52.7777777777778,4.25,4.75,8.5,4.25,-4.25,0.5,0.75,0.0,0.7,0.0,0.75,0.7
64,9,10,0,22.0076448,22.51379776,-0.432,-0.1276672,2,42.8571428571429,0.0,6,8,1,22.676797568,21.1440218026667,0.797715456,1.264,4,55.5555555555556,0,0,19,Volei Futuro,Minas,12,2010,2010-2011,-3,0.925382656,0.669152768,-1.3697759573332995,12.698412698412703,7.0,4.25,10.25,3.5,-3.25,0.75,0.75,0.25,0.7,0.2,0.5,0.49999999999999994
65,14,12,0,21.112722944,23.5729426773333,-1.17216,-1.931316736,7,11.1111111111111,0.0,7,14,1,22.211025408,22.0571927893333,0.370425344,0.3888,7,44.4444444444444,0,1,19,Santo Andre,Londrina,12,2010,2010-2011,-7,2.30174208,1.0983024639999996,-1.515749888000002,33.3333333333333,10.75,3.5,13.75,3.25,-3.0,0.25,0.75,0.0,0.9,0.0,0.75,0.9
66,5,4,1,23.3415917226667,21.173298688,0.0592,0.987590144,3,66.6666666666667,0.0,2,5,1,23.4435960490667,20.1241192106667,1.619866112,1.4384,2,100.0,0,1,19,Pinheiros,Sesi,12,2010,2010-2011,-3,0.632275968,0.10200432639999946,-1.0491794773333005,33.3333333333333,3.0,3.75,5.25,3.5,-2.25,0.25,1.0,0.75,1.0,0.7,0.25,0.30000000000000004
67,13,6,1,20.1880021333333,23.1988266666667,-0.81696,-0.73307392,7,25.0,0.0,11,11,1,21.2622954666667,22.4163573333333,-0.4684544,-0.6112,7,28.5714285714286,0,1,21,Fatima UCS,Blumenau,12,2010,2010-2011,-2,0.26461952000000005,1.0742933333334008,-0.7824693333334025,3.5714285714286014,12.0,3.25,12.5,3.25,-0.5,0.0,0.5,0.25,0.5,0.4,0.25,0.09999999999999998
68,8,10,1,22.00611584,22.451038208,-0.1456,0.09786624,3,50.0,0.0,11,9,0,21.3265152,23.6072103253333,-1.832769024,-1.32544,3,22.2222222222222,0,1,22,Volei Futuro,Medley,12,2010,2010-2011,3,-1.9306352640000002,-0.6796006400000003,1.1561721173332984,-27.7777777777778,9.25,3.5,9.75,2.25,-0.5,1.25,0.0,0.5,0.0,0.5,-0.5,-0.5
69,5,4,0,23.0732733781333,22.1386389504,-0.35264,0.3900721152,4,60.0,0.0,15,9,0,19.6399742293333,23.1635898026667,-1.80036864,-1.19072,6,0.0,0,0,23,Pinheiros,Ulbra Sao Caetano,12,2010,2010-2011,10,-2.1904407552,-3.4332991487999998,1.0249508522666986,-60.0,15.0,3.75,5.0,3.5,10.0,0.25,0.0,0.5,0.0,0.4,-0.5,-0.4
70,1,5,1,23.9548768392533,20.4992953685333,1.11904,1.6958928896,4,100.0,0.0,11,12,0,21.21444608,22.3997226666667,-0.7580032,1.008,7,42.8571428571429,0,0,23,Sesi,Sao Bernardo,12,2010,2010-2011,10,-2.4538960896,-2.7404307592533,1.9004272981334012,-57.1428571428571,7.5,5.0,2.75,3.5,4.75,1.5,0.25,1.0,0.3,1.0,-0.75,-0.7
71,10,11,1,22.0098363733333,22.1997525333333,-0.304,0.22523648,7,37.5,0.0,3,1,1,23.9458623146667,20.9132357973333,1.705826816,1.445568,7,88.8888888888889,0,1,31,Blumenau,Cimed,12,2010,2010-2011,-7,1.4805903360000001,1.9360259413334013,-1.2865167359999994,51.3888888888889,3.25,4.0,11.0,4.0,-7.75,0.0,1.0,0.5,1.0,0.7,0.5,0.30000000000000004
72,8,10,0,21.724892672,22.4008305664,-0.31648,-0.121707008,7,44.4444444444444,0.0,6,14,1,22.7688203264,21.5124208981333,0.8963402752,0.91104,7,50.0,0,1,5,Volei Futuro,Londrina,1,2011,2010-2011,-2,1.0180472832,1.043927654400001,-0.8884096682667,5.5555555555556,9.5,4.25,8.75,2.75,0.75,1.5,1.0,0.25,1.0,0.3,0.75,0.7
73,7,8,0,22.5814380544,21.3152174421333,-0.235712,0.4381723648,7,50.0,0.0,10,11,0,20.941202432,22.7598020266667,-0.419810816,0.11104,6,33.3333333333333,0,0,6,Minas,Blumenau,1,2011,2010-2011,3,-0.8579831808,-1.6402356223999988,1.444584584533402,-16.6666666666667,11.0,5.0,6.25,4.25,4.75,0.75,0.5,0.5,0.5,0.4,0.0,0.09999999999999998
